istdi,icia,3iac,pisti,seas
Hygiène Sécurité Industrielle,Banque et Ingénierie Financière,,,Banking and Finance
Instrumentation et Maintenance Biomédicale,Supply Chain Management,,,Management
"Mécatronique/Constructions Industrielles
",Comptabilité Contrôle et Audit,,,Marketing and International Business
"*_Sicences Technologiques
_*","Distribution et Pilotage des Equipes Commerciales
",,,"Human Resource Management
"
Génie Civil / Géomatique et Topographie,"*_EXECUTIVE PROGRAMS_*
",,,"*_BACHELOR OF AGRICULTURE_*
"
Instrumentation et Maintenance Biomédicale,Executive MBA : Master in Business Administration (02 seminaires de formation à l'étranger),,,Crop Science
Génie Energitique et Industrielle,MBA in Global Entrepreneurship,,,Animal Science
Génie Chimique des Procédés,"Executive Certification
",,,Food Science and Technology
"Qualité, Hygiène, Sécurité et Environnement",,,,"Fishing and Aquaculture
"
Maintenance Industrielle et Productique,,,,"*_MASTER OF ENGINEERING_*
"
Mécatronique,,,,Civil & Environemental Engineering
Génie Electrique et Automatismes,,,,Computer Science & Engineering
Génie Logiciel,,,,Electro-mechanical Engineering
Constructions Industrielles,,,,"Process Engineering
"
"Infographie et Marketing Numérique
",,,,"*_MASTER IN BUSINESS & MANAGEMENT SCIENCES_*
"
"*_Masters Pro. Industriels et Technologiques
_*",,,,Management
Génie Electrique et Informatique Industrielle (GE21),,,,Digital Marketing
Génie des Réseaux et Télécommunications (GRT),,,,Business Analytics
Système d'Information et Génie Logiciel (SIGL),,,,Corporate Finance
Qualité Hygiène et Sécurité Industrielle (QHSI),,,,Accounting and Audit
Système d'Information et Réseaux (SIR),,,,"Global Supply Chain Management
"
"Système d'Information Audit et Conseil (SIAC)
",,,,
